Activity_2-7748           | [000] | 3248.635683  | sched_switch    | Activity_2:7748 [120] R ==> rcuc/0:21 [98] 
rcuc/0-21                 | [000] | 3248.635684  | sched_switch    | rcuc/0:21 [98] S ==> Activity_2:7748 [120] 
Activity_2-7748           | [000] | 3248.636680  | sched_wakeup    | rcuc/0:21 [98] CPU:000 
Activity_2-7748           | [000] | 3248.636683  | sched_switch    | Activity_2:7748 [120] R ==> rcuc/0:21 [98] 
rcuc/0-21                 | [000] | 3248.636685  | sched_switch    | rcuc/0:21 [98] S ==> Activity_2:7748 [120] 
Activity_1-7747           | [001] | 3248.637681  | sched_wakeup    | rcuc/1:30 [98] CPU:001 
Activity_2-7748           | [000] | 3248.637681  | sched_wakeup    | rcuc/0:21 [98] CPU:000 
Activity_2-7748           | [000] | 3248.637683  | sched_switch    | Activity_2:7748 [120] R ==> rcuc/0:21 [98] 
Activity_1-7747           | [001] | 3248.637683  | sched_switch    | Activity_1:7747 [120] R ==> rcuc/1:30 [98] 
rcuc/0-21                 | [000] | 3248.637685  | sched_switch    | rcuc/0:21 [98] S ==> Activity_2:7748 [120] 
rcuc/1-30                 | [001] | 3248.637685  | sched_switch    | rcuc/1:30 [98] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.638680  | sched_wakeup    | rcuc/1:30 [98] CPU:001 
Activity_2-7748           | [000] | 3248.638680  | sched_wakeup    | rcuc/0:21 [98] CPU:000 
