
[!] Lettura batch da file: trace_results_app09c_20260318_214345/trace_colonne.txt

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
2376.699155     | [DISPATCH] Task Activity_2 prende la CPU
2376.699201     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 47.392000 ms)
2376.699339     | [DISPATCH] Task Activity_2 prende la CPU
2376.699482     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 47.535000 ms)
2376.699647     | [DISPATCH] Task Activity_2 prende la CPU
2376.699693     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 47.581000 ms)
2376.699830     | [DISPATCH] Task Activity_2 prende la CPU
2376.699876     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 47.627000 ms)
2376.700023     | [DISPATCH] Task Activity_2 prende la CPU
2376.700093     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 47.697000 ms)
2376.700230     | [DISPATCH] Task Activity_2 prende la CPU
2376.700276     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 47.743000 ms)
2376.700429     | [DISPATCH] Task Activity_2 prende la CPU
2376.700538     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 47.852000 ms)
2376.700650     | [DISPATCH] Task Activity_2 prende la CPU
2376.701076     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 48.278000 ms)
2376.701572     | [DISPATCH] Task Activity_2 prende la CPU
2376.701706     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 48.412000 ms)
2376.701844     | [DISPATCH] Task Activity_2 prende la CPU
2376.701890     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 48.458000 ms)
2376.702029     | [DISPATCH] Task Activity_2 prende la CPU
2376.702144     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 48.573000 ms)
2376.702281     | [DISPATCH] Task Activity_2 prende la CPU
2376.702326     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 48.618000 ms)
2376.702489     | [DISPATCH] Task Activity_2 prende la CPU
2376.702664     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 48.793000 ms)
2376.703120     | [DISPATCH] Task Activity_2 prende la CPU
2376.704302     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 49.975000 ms)
2376.704468     | [DISPATCH] Task Activity_2 prende la CPU
2376.704514     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 50.021000 ms)
2376.704659     | [DISPATCH] Task Activity_2 prende la CPU
