
[!] Stream Eventi Live in esecuzione...

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
---------------------------------------------------------------------------

..............................................................
1002.244299     | [NUOVO PERIODO] Task Activity_1 Inizia [Period=1800 ms, Deadline=1800]

..............................................................
1005.444581     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1005.444582     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.

..............................................................
1005.444595     | [NUOVO PERIODO] Task Activity_2 Inizia [Period=800 ms, Deadline=800]
1005.448613     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1005.577777     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1005.577780     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1005.577934     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1005.578622     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1005.579751     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1005.579753     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1005.579822     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1005.579826     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1005.579911     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1005.580052     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1005.580053     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1005.580187     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1005.580233     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1005.580234     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1005.580406     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1005.580470     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
