ksoftirqd/0-14            | [000] | 81541.999633 | sched_switch    | ksoftirqd/0:14 [120] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81542.001127 | sched_switch    | Activity_1:22836 [98] S ==> swapper/0:0 [120] 
Activity_2-22837          | [001] | 81542.122336 | sched_switch    | Activity_2:22837 [80] S ==> kworker/1:1:14636 [120] 
<idle>-0                  | [001] | 81542.457006 | sched_wakeup    | Activity_2:22837 [80] CPU:001 
<idle>-0                  | [001] | 81542.457016 | sched_switch    | swapper/1:0 [120] R ==> Activity_2:22837 [80] 
Activity_2-22837          | [001] | 81542.471559 | sched_wakeup    | kworker/1:1:14636 [120] CPU:001 
<idle>-0                  | [000] | 81542.856925 | sched_wakeup    | Activity_1:22836 [98] CPU:000 
<idle>-0                  | [000] | 81542.856927 | sched_switch    | swapper/0:0 [120] R ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81542.857265 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81542.857267 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81542.857565 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81542.923337 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81542.923338 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81542.923374 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81542.923396 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81542.923396 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81542.923431 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81542.923907 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81542.923907 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81542.924049 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81542.924921 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81542.924921 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81542.925150 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81542.925232 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81542.925233 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81542.925506 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_2-22837          | [001] | 81542.957631 | sched_switch    | Activity_2:22837 [80] S ==> kworker/1:1:14636 [120] 
Activity_1-22836          | [000] | 81542.960176 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81542.960178 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81542.960466 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81542.961642 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81542.961645 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81542.961942 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81542.982563 | sched_wakeup    | kworker/0:3:18929 [120] CPU:000 
Activity_1-22836          | [000] | 81543.062642 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
