
[!] In attesa dello stream /sys/kernel/debug/tracing/trace_pipe...

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
2232.419085     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 63.771000 ms)
2232.435032     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1001.072000 ms)
2232.435351     | [DISPATCH] Task Activity_1 prende la CPU
2232.502487     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1068.208000 ms)
2232.502495     | [DISPATCH] Task Activity_1 prende la CPU
2232.537451     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1103.164000 ms)
2232.537784     | [DISPATCH] Task Activity_1 prende la CPU
2232.595426     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1160.806000 ms)
2232.595450     | [DISPATCH] Task Activity_1 prende la CPU
2232.639836     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1205.192000 ms)
2232.640151     | [DISPATCH] Task Activity_1 prende la CPU
2232.742237     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1307.278000 ms)
2232.742560     | [DISPATCH] Task Activity_1 prende la CPU
2232.849906     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1414.624000 ms)
2232.850238     | [DISPATCH] Task Activity_1 prende la CPU
2232.851462     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1415.848000 ms)
2232.851479     | [DISPATCH] Task Activity_1 prende la CPU
2232.947059     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1511.428000 ms)
2232.947358     | [DISPATCH] Task Activity_1 prende la CPU
2233.005658     | [DISPATCH] Task Activity_2 prende la CPU
2233.049451     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1613.521000 ms)
2233.049726     | [DISPATCH] Task Activity_1 prende la CPU
2233.074511     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1638.306000 ms)
2233.074650     | [DISPATCH] Task Activity_1 prende la CPU
2233.074672     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1638.328000 ms)
2233.074745     | [DISPATCH] Task Activity_1 prende la CPU
2233.074930     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1638.513000 ms)
2233.075166     | [DISPATCH] Task Activity_1 prende la CPU
2233.081210     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1644.557000 ms)
2233.081802     | [DISPATCH] Task Activity_1 prende la CPU
2233.114831     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1677.586000 ms)
2233.115130     | [DISPATCH] Task Activity_1 prende la CPU
2233.235530     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1797.986000 ms)
2233.235555     | [DISPATCH] Task Activity_1 prende la CPU
2233.254255     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1816.686000 ms)
2233.254596     | [DISPATCH] Task Activity_1 prende la CPU
2233.255603     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1817.693000 ms)
2233.255874     | [DISPATCH] Task Activity_1 prende la CPU
2233.256843     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1818.662000 ms)
2233.257405     | [DISPATCH] Task Activity_1 prende la CPU
2233.257595     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1818.852000 ms)
2233.257635     | [DISPATCH] Task Activity_1 prende la CPU
2233.257942     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1819.159000 ms)
2233.258244     | [DISPATCH] Task Activity_1 prende la CPU
2233.263996     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1824.911000 ms)
2233.264326     | [DISPATCH] Task Activity_1 prende la CPU
2233.296064     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1856.649000 ms)
2233.296345     | [DISPATCH] Task Activity_1 prende la CPU
2233.299534     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1859.838000 ms)
2233.299556     | [DISPATCH] Task Activity_1 prende la CPU
2233.299637     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1859.919000 ms)
2233.299716     | [DISPATCH] Task Activity_1 prende la CPU
2233.300047     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1860.250000 ms)
2233.300276     | [DISPATCH] Task Activity_1 prende la CPU
2233.320281     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1880.255000 ms)
2233.320551     | [DISPATCH] Task Activity_1 prende la CPU
2233.356658     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1916.362000 ms)
2233.356994     | [DISPATCH] Task Activity_1 prende la CPU
2233.363545     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1922.913000 ms)
2233.363561     | [DISPATCH] Task Activity_1 prende la CPU
2233.392804     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1952.156000 ms)
2233.393057     | [DISPATCH] Task Activity_1 prende la CPU
2233.394548     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1953.647000 ms)
2233.395051     | [DISPATCH] Task Activity_1 prende la CPU
2233.395098     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1953.694000 ms)
2233.395381     | [DISPATCH] Task Activity_1 prende la CPU
2233.395439     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1953.752000 ms)
2233.395677     | [DISPATCH] Task Activity_1 prende la CPU
2233.395733     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1953.808000 ms)
2233.395889     | [DISPATCH] Task Activity_1 prende la CPU
2233.395936     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1953.855000 ms)
2233.396156     | [DISPATCH] Task Activity_1 prende la CPU
2233.396213     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1953.912000 ms)
2233.396369     | [DISPATCH] Task Activity_1 prende la CPU
2233.396416     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1953.959000 ms)
2233.396680     | [DISPATCH] Task Activity_1 prende la CPU
2233.396732     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1954.011000 ms)
2233.397030     | [DISPATCH] Task Activity_1 prende la CPU
2233.397143     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1954.124000 ms)
2233.397300     | [DISPATCH] Task Activity_1 prende la CPU
2233.397346     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1954.170000 ms)
2233.397611     | [DISPATCH] Task Activity_1 prende la CPU
2233.397663     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1954.222000 ms)
2233.397822     | [DISPATCH] Task Activity_1 prende la CPU
2233.397869     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1954.269000 ms)
2233.398127     | [DISPATCH] Task Activity_1 prende la CPU
2233.398186     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1954.328000 ms)
